npn_rep_hex,opt,tree,gap,canalizing,forced_multi,note,t_sec
0x0000,0,0,0,1,0,gap0_implies_not_forced,0.0
0x0001,3,3,0,1,0,gap0_implies_not_forced,0.0
0x0003,2,2,0,1,0,gap0_implies_not_forced,0.0
0x0006,5,5,0,1,0,gap0_implies_not_forced,0.0
0x0007,3,3,0,1,0,gap0_implies_not_forced,0.0
0x000f,1,1,0,1,0,gap0_implies_not_forced,0.0
0x0016,7,8,1,1,0,sat_tested,0.3
0x0017,5,5,0,1,0,gap0_implies_not_forced,0.0
0x0018,6,6,0,1,0,gap0_implies_not_forced,0.0
0x0019,5,5,0,1,0,gap0_implies_not_forced,0.0
0x001b,4,4,0,1,0,gap0_implies_not_forced,0.0
0x001e,5,6,1,1,0,sat_tested,0.1
0x001f,3,3,0,1,0,gap0_implies_not_forced,0.0
0x003c,4,4,0,1,0,gap0_implies_not_forced,0.0
0x003d,5,5,0,1,0,gap0_implies_not_forced,0.0
0x003f,2,2,0,1,0,gap0_implies_not_forced,0.0
0x0069,7,10,3,1,0,sat_tested,1.2
0x006b,7,8,1,1,0,sat_tested,2.5
0x006f,5,5,0,1,0,gap0_implies_not_forced,0.0
0x007e,6,6,0,1,0,gap0_implies_not_forced,0.0
0x007f,3,3,0,1,0,gap0_implies_not_forced,0.0
0x00ff,0,0,0,1,0,gap0_implies_not_forced,0.0
0x0116,9,11,2,0,1,sat_tested+sb,2102.7
0x0117,7,7,0,0,0,gap0_implies_not_forced,0.0
0x0118,8,9,1,0,0,sat_tested,0.8
0x0119,7,7,0,0,0,gap0_implies_not_forced,0.0
0x011a,7,8,1,0,0,sat_tested,1.0
0x011b,6,6,0,0,0,gap0_implies_not_forced,0.0
0x011e,7,9,2,0,1,sat_tested,9.4
0x011f,5,5,0,0,0,gap0_implies_not_forced,0.0
0x012c,8,8,0,0,0,gap0_implies_not_forced,0.0
0x012d,7,7,0,0,0,gap0_implies_not_forced,0.0
0x012f,5,5,0,0,0,gap0_implies_not_forced,0.0
0x013c,7,8,1,0,0,sat_tested,0.2
0x013d,6,7,1,0,0,sat_tested,0.2
0x013e,7,9,2,0,0,sat_tested,0.6
0x013f,5,5,0,0,0,gap0_implies_not_forced,0.0
0x0168,9,11,2,0,1,sat_tested+sb,1531.3
0x0169,8,10,2,0,0,sat_tested,1.8
0x016a,8,10,2,0,0,sat_tested,16.3
0x016b,8,9,1,0,0,sat_tested,0.6
0x016e,8,9,1,0,0,sat_tested,2.2
0x016f,6,7,1,0,0,sat_tested,0.2
0x017e,8,10,2,0,0,sat_tested,9.4
0x017f,6,6,0,0,0,gap0_implies_not_forced,0.0
0x0180,7,7,0,0,0,gap0_implies_not_forced,0.0
0x0181,6,6,0,0,0,gap0_implies_not_forced,0.0
0x0182,8,8,0,0,0,gap0_implies_not_forced,0.0
0x0183,6,6,0,0,0,gap0_implies_not_forced,0.0
0x0186,9,11,2,0,0,sat_tested,2.5
0x0187,7,8,1,0,0,sat_tested,0.7
0x0189,5,5,0,0,0,gap0_implies_not_forced,0.0
0x018b,5,5,0,0,0,gap0_implies_not_forced,0.0
0x018f,5,5,0,0,0,gap0_implies_not_forced,0.0
0x0196,9,13,4,0,1,sat_tested+sb,1527.8
0x0197,9,10,1,0,0,sat_tested,7.2
0x0198,8,8,0,0,0,gap0_implies_not_forced,0.0
0x0199,6,6,0,0,0,gap0_implies_not_forced,0.0
0x019a,8,9,1,0,0,sat_tested,1.0
0x019b,7,7,0,0,0,gap0_implies_not_forced,0.0
0x019e,9,11,2,0,1,sat_tested+sb,1413.4
0x019f,7,7,0,0,0,gap0_implies_not_forced,0.0
0x01a8,6,7,1,0,0,sat_tested,0.2
0x01a9,5,6,1,0,0,sat_tested,0.1
0x01aa,5,5,0,0,0,gap0_implies_not_forced,0.0
0x01ab,4,4,0,0,0,gap0_implies_not_forced,0.0
0x01ac,7,7,0,0,0,gap0_implies_not_forced,0.0
0x01ad,6,6,0,0,0,gap0_implies_not_forced,0.0
0x01ae,6,6,0,0,0,gap0_implies_not_forced,0.0
0x01af,4,4,0,0,0,gap0_implies_not_forced,0.0
0x01bc,8,9,1,0,0,sat_tested,0.7
0x01bd,7,8,1,0,0,sat_tested,0.9
0x01be,8,9,1,0,0,sat_tested,0.5
0x01bf,6,6,0,0,0,gap0_implies_not_forced,0.0
0x01e8,8,9,1,0,0,sat_tested,0.8
0x01e9,7,8,1,0,0,sat_tested,0.5
0x01ea,7,7,0,0,0,gap0_implies_not_forced,0.0
0x01eb,6,6,0,0,0,gap0_implies_not_forced,0.0
0x01ee,5,6,1,0,0,sat_tested,0.1
0x01ef,4,5,1,0,0,sat_tested,0.1
0x01fe,5,7,2,0,0,sat_tested,0.1
0x033c,6,7,1,0,0,sat_tested,0.2
0x033d,7,8,1,0,0,sat_tested,0.6
0x033f,4,4,0,0,0,gap0_implies_not_forced,0.0
0x0356,5,7,2,0,1,sat_tested,0.1
0x0357,3,3,0,0,0,gap0_implies_not_forced,0.0
0x0358,7,8,1,0,1,sat_tested,9.8
0x0359,7,8,1,0,1,sat_tested,9.8
0x035a,6,7,1,0,0,sat_tested,0.2
0x035b,6,6,0,0,0,gap0_implies_not_forced,0.0
0x035e,7,8,1,0,0,sat_tested,0.4
0x035f,4,4,0,0,0,gap0_implies_not_forced,0.0
0x0368,8,11,3,0,1,sat_tested+sb,157.0
0x0369,8,11,3,0,1,sat_tested+sb,172.2
0x036a,8,9,1,0,0,sat_tested,3.1
0x036b,7,8,1,0,0,sat_tested,1.8
0x036c,7,9,2,0,0,sat_tested,2.4
0x036d,8,10,2,0,1,sat_tested+sb,145.1
0x036e,8,8,0,0,0,gap0_implies_not_forced,0.0
0x036f,7,7,0,0,0,gap0_implies_not_forced,0.0
0x037c,7,8,1,0,0,sat_tested,0.4
0x037d,7,8,1,0,0,sat_tested,1.5
