object,kind,seed_z_n4,tt_hex_n5,npn_canon_n5,class_members
0x03de0154,non-lift,,0x03de0154,0x00077374,1
0x09c50800,non-lift,,0x09c50800,0x00010ac9,1
0x57df03de,non-lift,,0x57df03de,0x00193f15,1
0xabfe03de,non-lift,,0xabfe03de,0x00193f2a,1
AND(0x0358),AND-lift,0x0358,0x03580000,0x00000358,1
AND(0x0359),AND-lift,0x0359,0x03590000,0x00000359,1
AND(0x03de),AND-lift,0x03de,0x03de0000,0x000003de,1
AND(0x06b5),AND-lift,0x06b5,0x06b50000,0x000006b5,1
AND(0x07bc),AND-lift,0x07bc,0x07bc0000,0x000007bc,1
AND(0x178e),AND-lift,0x178e,0x178e0000,0x0000178e,2
OR(0x0358),OR-lift,0x0358,0xffff0358,0x00003ded,1
OR(0x0359),OR-lift,0x0359,0xffff0359,0x00001bd7,1
OR(0x03de),OR-lift,0x03de,0xffff03de,0x000006f3,1
OR(0x06b5),OR-lift,0x06b5,0xffff06b5,0x000019eb,1
OR(0x07bc),OR-lift,0x07bc,0xffff07bc,0x000019ea,1
OR(0x178e),OR-lift,0x178e,0xffff178e,0x0000178e,2
