npn_canon,papel,min_reconv,n_testemunhas,popcount,veredicto,cnf_sha16,drat_sha16,drat_trim_forced,drat_trim_tree
0x00000358,controle,2,1920,5,CERTIFICADO,959a24d0982d785d,302863dca36e7442,VERIFIED,VERIFIED
0x00000359,controle,2,1920,6,CERTIFICADO,a413a56f7655891a,8ff36891c50c972b,VERIFIED,VERIFIED
0x000007bc,controle,2,1920,8,CERTIFICADO,4f69eb7bcdaa1af0,7cdc56041d973b3f,VERIFIED,VERIFIED
0x000019ea,controle,2,1920,8,CERTIFICADO,921f3ba19a89fd73,22c4e8788a67b3c5,VERIFIED,VERIFIED
0x00001bd7,controle,2,1920,10,CERTIFICADO,f7b442849c9030d0,4fc158d8109e2ec0,VERIFIED,VERIFIED
0x00003ded,controle,2,1920,11,CERTIFICADO,b0af5cb560326f44,be8d67ee09fb10c5,VERIFIED,VERIFIED
0x0001035b,nova,2,3840,8,CERTIFICADO,df6f1baca44526c3,3cae1fc20133d35c,VERIFIED,VERIFIED
0x00010ac1,nova,2,1920,6,CERTIFICADO,eb7072631fb3bec7,85f62462cfcb4b3b,VERIFIED,VERIFIED
0x00010ac9,controle,2,1920,7,CERTIFICADO,743ce64a4f8e0b3a,1c90cf6d6c79e6e2,VERIFIED,VERIFIED
0x00010bf5,nova,2,3840,10,CERTIFICADO,37dd8fe403b772e2,fc522a6fe33e1ac8,VERIFIED,VERIFIED
0x00012cfd,nova,2,3840,11,CERTIFICADO,16c681851aaa9e4c,d592512dcd4f515c,VERIFIED,VERIFIED
0x00019889,nova,2,960,7,CERTIFICADO,b98225e90b8dd50b,1a46941e11d246f7,VERIFIED,VERIFIED
0x000199ab,nova,2,3840,10,CERTIFICADO,9d088d088bab34d2,931f1adf6efc2a62,VERIFIED,VERIFIED
0x00019abb,nova,2,3840,11,CERTIFICADO,fbfc072374f8714e,53c6da0061828351,VERIFIED,VERIFIED
0x0001aac8,nova,2,3840,8,CERTIFICADO,bd6bb02083b756b8,9d24570300a948d8,VERIFIED,VERIFIED
0x0001acfc,nova,2,3840,11,CERTIFICADO,de2c75c351dd81cc,4066007d1cd0d45a,VERIFIED,VERIFIED
0x000307fb,nova,2,3840,12,CERTIFICADO,642556090cd2c087,0660b2d2fc051dca,VERIFIED,VERIFIED
0x0003545b,nova,2,3840,10,CERTIFICADO,f78d62c6d553df61,750dca2ded5a3435,VERIFIED,VERIFIED
0x00035599,nova,2,3840,10,CERTIFICADO,09affe4d96f03b31,362f749f4898024e,VERIFIED,VERIFIED
0x0003c4c2,nova,2,3840,8,CERTIFICADO,7af3e2cf8d5a2d60,126d9d031f2cdd2e,VERIFIED,VERIFIED
0x0003d4dd,nova,2,3840,12,CERTIFICADO,d7f21868b8d8cc51,31d7388d5bb14843,VERIFIED,VERIFIED
0x0003d8c3,nova,2,1920,10,CERTIFICADO,18e66283f7320664,807412aa1254efe8,VERIFIED,VERIFIED
0x0003d8c9,nova,3,3840,10,CERTIFICADO,ae809b520650627d,41a8f2b5a27a16f0,VERIFIED,VERIFIED
0x000631f7,nova,2,3840,12,CERTIFICADO,de14258d66155a25,ca1ac8fb0abba27b,VERIFIED,VERIFIED
0x0006f036,nova,2,3840,10,CERTIFICADO,31fcb42d33556711,7d24188142270939,VERIFIED,VERIFIED
0x000737cf,nova,2,3840,14,CERTIFICADO,e4516971728d44e3,b6bb764ea3bdb67d,VERIFIED,VERIFIED
0x00077374,controle,2,3840,12,CERTIFICADO,f86c32b4e32bcee6,1fa8510cb1e71fec,VERIFIED,VERIFIED
0x0007a787,nova,2,3840,12,CERTIFICADO,5800680da2667dea,285929ca1984dc2c,VERIFIED,VERIFIED
0x0007b8b7,nova,2,3840,13,CERTIFICADO,27440a0dcd99a0ff,ecce7a73eb654abc,VERIFIED,VERIFIED
0x0007b8bc,nova,2,3840,12,CERTIFICADO,303b414d3ffd9078,859d18efbacaa964,VERIFIED,VERIFIED
0x0007bbcf,nova,2,3840,15,CERTIFICADO,487f4feb4d9bb216,145b688e792ec8dd,VERIFIED,VERIFIED
0x0007f3f4,nova,2,3840,14,CERTIFICADO,14ac6711f241ce7f,8593e289cf6d45cf,VERIFIED,VERIFIED
0x0007fac7,nova,2,1920,14,CERTIFICADO,53c71b1e46c12284,fbfd18aa398daf18,VERIFIED,VERIFIED
0x0007faca,nova,2,3840,13,CERTIFICADO,ff19600c1c6bcb28,faf41f1a1341eb29,VERIFIED,VERIFIED
0x000f3340,nova,2,1920,9,CERTIFICADO,0441a0598a7762ba,1e99d8ab4ace6b9b,VERIFIED,VERIFIED
0x000f3343,nova,2,1920,11,CERTIFICADO,352f32fb363666b8,b21cadd6cef04848,VERIFIED,VERIFIED
0x000f33d5,nova,2,1920,13,CERTIFICADO,9429afebd18b5586,0715431b004f5377,VERIFIED,VERIFIED
0x000f37b7,nova,2,3840,15,CERTIFICADO,7d587bbda95faa99,d1ce2c282d55778c,VERIFIED,VERIFIED
0x000f71f3,nova,2,3840,14,CERTIFICADO,227e276fb07a1f01,6653e92362e49b72,VERIFIED,VERIFIED
0x000f737e,nova,2,3840,15,CERTIFICADO,04945bece0fb5406,ccd662f0ecd43fab,VERIFIED,VERIFIED
0x000f73fc,nova,2,3840,15,CERTIFICADO,55ecb4ec75091b04,412a4fe16c479e24,VERIFIED,VERIFIED
0x000f767a,nova,2,3840,14,CERTIFICADO,390e0437aec23cea,6a05aff0823b2f18,VERIFIED,VERIFIED
